DATE,TXMIDL9LFN
1990-01-01,54140
1990-02-01,53742
1990-03-01,54038
1990-04-01,54171
1990-05-01,54669
1990-06-01,55254
1990-07-01,55116
1990-08-01,54519
1990-09-01,54318
1990-10-01,55059
1990-11-01,54874
1990-12-01,54724
1991-01-01,54594
1991-02-01,54255
1991-03-01,54550
1991-04-01,55706
1991-05-01,55907
1991-06-01,57102
1991-07-01,57070
1991-08-01,56674
1991-09-01,56488
1991-10-01,57446
1991-11-01,57061
1991-12-01,56805
1992-01-01,57753
1992-02-01,57447
1992-03-01,57434
1992-04-01,58026
1992-05-01,57783
1992-06-01,58916
1992-07-01,58815
1992-08-01,58049
1992-09-01,57411
1992-10-01,57161
1992-11-01,57794
1992-12-01,57619
1993-01-01,57487
1993-02-01,57221
1993-03-01,57139
1993-04-01,57554
1993-05-01,58137
1993-06-01,59083
1993-07-01,59378
1993-08-01,58795
1993-09-01,58814
1993-10-01,59469
1993-11-01,59113
1993-12-01,59325
1994-01-01,59083
1994-02-01,59107
1994-03-01,58815
1994-04-01,58957
1994-05-01,59012
1994-06-01,59586
1994-07-01,59621
1994-08-01,59201
1994-09-01,59103
1994-10-01,59616
1994-11-01,59504
1994-12-01,59486
1995-01-01,59149
1995-02-01,59168
1995-03-01,59244
1995-04-01,59611
1995-05-01,59553
1995-06-01,60406
1995-07-01,60066
1995-08-01,59495
1995-09-01,59689
1995-10-01,59982
1995-11-01,59832
1995-12-01,59888
1996-01-01,59089
1996-02-01,59057
1996-03-01,59351
1996-04-01,59146
1996-05-01,59647
1996-06-01,60181
1996-07-01,60108
1996-08-01,59472
1996-09-01,60064
1996-10-01,60817
1996-11-01,60571
1996-12-01,60573
1997-01-01,61355
1997-02-01,61269
1997-03-01,61950
1997-04-01,62314
1997-05-01,62779
1997-06-01,62768
1997-07-01,62860
1997-08-01,62373
1997-09-01,62752
1997-10-01,63180
1997-11-01,63534
1997-12-01,63186
1998-01-01,63335
1998-02-01,63747
1998-03-01,64209
1998-04-01,64237
1998-05-01,64986
1998-06-01,64751
1998-07-01,65131
1998-08-01,64636
1998-09-01,64687
1998-10-01,64470
1998-11-01,63986
1998-12-01,63604
1999-01-01,62120
1999-02-01,61655
1999-03-01,61170
1999-04-01,61184
1999-05-01,61478
1999-06-01,61578
1999-07-01,61385
1999-08-01,60687
1999-09-01,61224
1999-10-01,61104
1999-11-01,60995
1999-12-01,60644
2000-01-01,58145
2000-02-01,57708
2000-03-01,57562
2000-04-01,58356
2000-05-01,58430
2000-06-01,58569
2000-07-01,57810
2000-08-01,57979
2000-09-01,58383
2000-10-01,58974
2000-11-01,58401
2000-12-01,58943
2001-01-01,59064
2001-02-01,58702
2001-03-01,58485
2001-04-01,59587
2001-05-01,59752
2001-06-01,60174
2001-07-01,60650
2001-08-01,59349
2001-09-01,60344
2001-10-01,60955
2001-11-01,60458
2001-12-01,60138
2002-01-01,59580
2002-02-01,60205
2002-03-01,60008
2002-04-01,61081
2002-05-01,61520
2002-06-01,61720
2002-07-01,61854
2002-08-01,61380
2002-09-01,62215
2002-10-01,61901
2002-11-01,61695
2002-12-01,61376
2003-01-01,61076
2003-02-01,61488
2003-03-01,61890
2003-04-01,62331
2003-05-01,62716
2003-06-01,63803
2003-07-01,63351
2003-08-01,62891
2003-09-01,63504
2003-10-01,63506
2003-11-01,63963
2003-12-01,64241
2004-01-01,63678
2004-02-01,63406
2004-03-01,63401
2004-04-01,63605
2004-05-01,63831
2004-06-01,64642
2004-07-01,64506
2004-08-01,63789
2004-09-01,63994
2004-10-01,64014
2004-11-01,64194
2004-12-01,64491
2005-01-01,64998
2005-02-01,65149
2005-03-01,65035
2005-04-01,65161
2005-05-01,65118
2005-06-01,65882
2005-07-01,66596
2005-08-01,66930
2005-09-01,67273
2005-10-01,67628
2005-11-01,67728
2005-12-01,68309
2006-01-01,67480
2006-02-01,67760
2006-03-01,67992
2006-04-01,68832
2006-05-01,69189
2006-06-01,70007
2006-07-01,70776
2006-08-01,71318
2006-09-01,70473
2006-10-01,70538
2006-11-01,70422
2006-12-01,70759
2007-01-01,70149
2007-02-01,69727
2007-03-01,70175
2007-04-01,70483
2007-05-01,70374
2007-06-01,71610
2007-07-01,72111
2007-08-01,71509
2007-09-01,72106
2007-10-01,71757
2007-11-01,72684
2007-12-01,72624
2008-01-01,73372
2008-02-01,73406
2008-03-01,73800
2008-04-01,74136
2008-05-01,74551
2008-06-01,75725
2008-07-01,75938
2008-08-01,75855
2008-09-01,76716
2008-10-01,76619
2008-11-01,76479
2008-12-01,75906
2009-01-01,75505
2009-02-01,75141
2009-03-01,74698
2009-04-01,74807
2009-05-01,74497
2009-06-01,75146
2009-07-01,75713
2009-08-01,74691
2009-09-01,75079
2009-10-01,74592
2009-11-01,74552
2009-12-01,74792
2010-01-01,68687
2010-02-01,69290
2010-03-01,69609
2010-04-01,70922
2010-05-01,70749
2010-06-01,71271
2010-07-01,72057
2010-08-01,72179
2010-09-01,72494
2010-10-01,72676
2010-11-01,72986
2010-12-01,73054
2011-01-01,74135
2011-02-01,74407
2011-03-01,74781
2011-04-01,75536
2011-05-01,76017
2011-06-01,76530
2011-07-01,77994
2011-08-01,77567
2011-09-01,78072
2011-10-01,78122
2011-11-01,78350
2011-12-01,78598
2012-01-01,79389
2012-02-01,80026
2012-03-01,80244
2012-04-01,81044
2012-05-01,81727
2012-06-01,82237
2012-07-01,83538
2012-08-01,83503
2012-09-01,83696
2012-10-01,83916
2012-11-01,83632
2012-12-01,83675
2013-01-01,84450
2013-02-01,84585
2013-03-01,84345
2013-04-01,85818
2013-05-01,86054
2013-06-01,86508
2013-07-01,87183
2013-08-01,86506
2013-09-01,86979
2013-10-01,86241
2013-11-01,87073
2013-12-01,87029
2014-01-01,88211
2014-02-01,88615
2014-03-01,89039
2014-04-01,89937
2014-05-01,90139
2014-06-01,90832
2014-07-01,92389
2014-08-01,92004
2014-09-01,92564
2014-10-01,93049
2014-11-01,93037
2014-12-01,92766
2015-01-01,92121
2015-02-01,90587
2015-03-01,89590
2015-04-01,89453
2015-05-01,88900
2015-06-01,88569
2015-07-01,88182
2015-08-01,87266
2015-09-01,86810
2015-10-01,86520
2015-11-01,86860
2015-12-01,86588
2016-01-01,86661
2016-02-01,86142
2016-03-01,85871
2016-04-01,85043
2016-05-01,84244
2016-06-01,84161
2016-07-01,84867
2016-08-01,84304
2016-09-01,84489
2016-10-01,84702
2016-11-01,85209
2016-12-01,85321
2017-01-01,86258
2017-02-01,86948
2017-03-01,87112
2017-04-01,88332
2017-05-01,88969
2017-06-01,89991
2017-07-01,91948
2017-08-01,92168
2017-09-01,93357
2017-10-01,94074
2017-11-01,95197
2017-12-01,95886
2018-01-01,97536
2018-02-01,99149
2018-03-01,99553
2018-04-01,101019
2018-05-01,101300
2018-06-01,101932
2018-07-01,104217
2018-08-01,103244
2018-09-01,104269
2018-10-01,104591
2018-11-01,104883
2018-12-01,105635
2019-01-01,105701
2019-02-01,104692
2019-03-01,104371
